영화댓글
wche****
우훌루후후(dngk****)
유인나연(ssss****)
Casofhjkl(kidi****)
키돌(doon****)
연인들을 위한 영화가 아니다. 여성관객들을 위한 영화도 아니다. 이 영화는 꿈꾸는 모든 이들을 위한 영화. 인생을 논하는 영화.
쇼생크 탈출(chri****)
fsli****
운행종료한 놀이공원에 노래가 계속 나오는 것같다.
재즈가 이토록 설레고 이렇게 슬프다니.라라랜드는 슬픔과 환희의 설레임이다.
Joon(chro****)
슬프기 짝이 없는 상상.
"아이러니컬하게도, 꿈이라는 건 이루고 난 뒤보다 이루기 전까지가 실은 가장 행복했다는 걸, 이루고 난 뒤에야 깨닫는다는 인생의 진실을 가슴 아프게 그리고 아름답게 보여주는 영화"
꿈꾸는하늘(suni****)
다시 돌아간다면 지금과 달랐을까?
왤케눈물이나오는지..ㅠㅠ
서로의 꿈을 돌보아주고 키워가며 각자의 길을 응원하는 최고의 뮤지컬.
"다미엔 차젤레 감독은 관객에게 황홀한 마법을 걸었다. 재즈에 대한 애정을 담아 연출했고 꿈 꾸는 모든 이들을 위한 영화. 롱테이크 오프닝 시퀀스, OST부터 이미 매료되었고 엔딩까지 한 편의 동화 같은 현실 이야기...."
영화 시작부터 깜짝놀랐다. 지금까지 본 음악영화 중에서 최고다.
"거의 마지막쯤에 나왔던 ""흐르는대로가자"" 라는 대사가 이 영화를 잘 나타내주었던 말인것 같다. 고민되고 힘이들땐 너무 많은 것을 생각하기보다는  내맘이 끌리는 대로 흐르는대로 가자!"
프라이드(only****)
sunn****
초반부는 그냥 음악이 있는 로맨스겠구나 싶었다. 중반 이후로 넘어가면서 무모할것 같은 꿈을 쫓는 그들의 이야기가   꿈을 포기하고  살고 있는  나의 가슴을 때리고 있었다.  아마도 꿈을 쫓고 있거나 포기한 경험을 ...
아름디운 영화~라이언고슬링 연기 조으다
어른을 위한 꿈의 동화~시간이 후딱 갔네요.엔딩은 현실로 여운을 남기는..보면 후회하지 않을거임~
이런영화가 흥행해야 함. 맨날 스타 배우진만 보고 강제 흥행하려는 영화관독점영화말고
내생애 최고의 뮤지컬영화로 뽑음ㅠㅠ 넘넘 재밌음!!!
다른사람들이 평을 너무 잘썼다 내마음도 똑같고 아 ㅅ 바 눈물좀 멈춰줘
영화보다가 박수칠뻔ㅜㅜ
끝나고도 계속 생각나네요 황홀하다는 느낌이 이런느낌이랄까  영상도 너무이쁘고 마지막10분정도는 오래 기억에 남을것같네요 배우들 표정연기도 너무 좋았고 엠마스톤이 너무 사랑스러웠고 ㅎㅎ city of stars 바로 ...
오히려 더 현실적이라 재밌었다.
"꿈꾸는 모든 이를 위하여, 꿈을 꾸는 이들이 꿈이라는 열망앞에서 현재와 미래 그리고 과거에 대하여 마주하게되는 수천개의 감정들을 로맨스로 말해주는 영화"
"사람들은 현실같은 영화를 지루하다고 한다 그리고 온갖 영화스러움이 가득한 영화를 현실 같다고 하곤 한다. 라라랜드 보고 지루하다는 사람들은 그냥 블록버스터나 보러 가길. 이 영화야말로 우리 삶을, 청춘을 가장 잘 보..."
진경리(xzsa****)
나에게 나보다 더 믿음을 가지고 있는 사람을 만나는건 엄청난 복인것. 어쩌나 저쩌나 라이언 고슬링은 사랑입니딘
dasexperiment(shad****)
마지막 피아노 치고 해고당하는 장면에서 키스신은 정말 .. 나도모르게 여자친구의 손을 꽉 잡아버렸다 너무 아름다운영화
"인생영화 하나 또 탄생했네~ 롱테이크 촬영이 예술, 영상이 넘나 아름답고, 라이언고슬링의 멋진 피아노 연주, 엠마스톤과의 춤과 노래..눈과 귀가 호강한다..재미를 기대하면 약간 실망할수도 있지만 충분히 훌륭한 영화!..."
영오(dlgh****)
브라이언(huma****)
"우리는 지금 어디에 있는걸까,"
1_1(kmg3****)
꿈꾸고 싶어지는 영화 라라랜드
마지막 5분의 여운이 아직도... 펑펑울며 나가던 여자아이 ..
베라티르(ragr****)
영화가 내 주변에서 스윙댄스 추고 휙 가버린 기분이다. 기분이 둥둥. 색감 음악 의상 모두 다 좋았다 ㅠㅠ
10점이 아깝지 않은 영화 . 방금 보고 나왔는데 예상만큼 좋았어요. 다시 보고 싶네요
마지막 장면 남자배우의 표정이 잊히지 않네요..
콩(o0os****)
배경이 너무 아름답고 음악이 너무좋고 재미있습니다
썸데이(hjch****)
메리엘(dhtm****)
"꿈과 성공, 그리고 사랑을 인생의 선 상에서 아름답게  표현했다. 춤과 노래가 어우러져 더욱 극적으로 다가옴. 한편의 느낀 점 많은 성장영화였음."
minororo(tari****)
kktj****
LP(ogr5****)
제목 오지게 잘 지었다. 영화의 배경인 la를 뜻하면서도 꿈꾸는 청년들의 동화같은 이야기. 기분 좋은 오프닝부터 bitter sweet한 엔딩까지 심장이 멈추질 않게 합니다. 영화가 끝난 지금까지. 음악과 춤 그리고...
gksw****
자극적인 영화가 주류인 요즘 같은 시대엔좀 촌스럽고 고루해보일수 있겠지만 그렇기때문에더 담백하고 새로운 기분으로 본 영화였어요
문돌이(kevi****)
조따 빡쳐서 댓글쓴다. 판도라 알바들 영화 보지도않고 1점줘서 별점 깎고 10점 비추누름국내영화시장 극혐;; 외화 잘될까봐 부들부들 덜덜떨면서 별점이나 깎고 이딴짓 몇년하고도 지겹지도 않나.. 창피하다 창피해 이러니...
어썸(urid****)
eatemotgre(yona****)
sequoia(eme1****)
정말 최고의영화다80년대 감성에내용도.노래도긴영화임에도 결코 눈을 뗄 수 없는 영화였다
