일별,M001_한식,M002_일식/중식/양식,M003_제과/커피/패스트푸드,M004_기타요식,M005_유흥,M006_백화점,M007_할인점/슈퍼마켓,M008_편의점,M009_기타유통,M010_음/식료품,M011_의복/의류,M012_패션/잡화,M013_스포츠/문화/레저,M014_스포츠/문화/레저용품,M015_숙박,M016_여행,M017_미용서비스,M018_화장품,M019_서비스,M020_인테리어,M021_학원,M022_유아교육,M023_교육용품,M024_병원,M025_약국,M026_기타의료,M027_가전/가구,M028_자동차판매,M029_자동차서비스/용품,M030_주유
2019-01-22,3551 ,710 ,2043 ,3206 ,97 ,453 ,5904 ,5225 ,553 ,1316 ,236 ,109 ,1001 ,176 ,110 ,53 ,309 ,135 ,283 ,195 ,119 ,96 ,157 ,1623 ,1190 ,21 ,213 ,9 ,334 ,1851 
2019-01-23,3602 ,732 ,2047 ,3161 ,102 ,466 ,5626 ,5224 ,598 ,1327 ,237 ,110 ,1068 ,174 ,109 ,54 ,348 ,140 ,305 ,119 ,111 ,66 ,153 ,1527 ,1120 ,21 ,214 ,10 ,335 ,1845 
2019-01-24,3633 ,749 ,2080 ,3219 ,104 ,475 ,5918 ,5259 ,602 ,1338 ,251 ,109 ,1093 ,184 ,113 ,56 ,349 ,142 ,277 ,117 ,110 ,44 ,155 ,1513 ,1129 ,22 ,227 ,9 ,334 ,1871 
2019-01-25,3897 ,822 ,2184 ,3609 ,128 ,572 ,6208 ,5433 ,707 ,1438 ,273 ,119 ,1170 ,199 ,131 ,56 ,398 ,148 ,1246 ,156 ,124 ,39 ,151 ,1640 ,1207 ,23 ,292 ,9 ,347 ,2005 
2019-01-26,4078 ,975 ,2391 ,3768 ,196 ,890 ,7218 ,5111 ,468 ,1607 ,402 ,160 ,1762 ,316 ,223 ,54 ,648 ,161 ,323 ,107 ,84 ,6 ,155 ,1143 ,982 ,18 ,243 ,4 ,381 ,2086 
2019-01-27,3529 ,872 ,2190 ,3287 ,162 ,898 ,5162 ,4825 ,519 ,1351 ,358 ,116 ,1668 ,288 ,197 ,56 ,559 ,124 ,176 ,44 ,46 ,5 ,122 ,137 ,243 ,6 ,194 ,0 ,226 ,1764 
2019-01-28,3470 ,650 ,1987 ,2919 ,83 ,457 ,6157 ,5087 ,1158 ,1391 ,225 ,109 ,1125 ,170 ,106 ,52 ,356 ,146 ,334 ,132 ,154 ,34 ,150 ,1964 ,1492 ,27 ,256 ,9 ,350 ,1905 
2019-01-29,3594 ,735 ,2025 ,3121 ,96 ,490 ,6071 ,5184 ,810 ,1443 ,237 ,108 ,1114 ,183 ,105 ,51 ,339 ,150 ,287 ,122 ,147 ,23 ,151 ,1655 ,1230 ,25 ,219 ,9 ,347 ,1917 
2019-01-30,3687 ,771 ,2070 ,3232 ,107 ,529 ,6094 ,5290 ,428 ,1478 ,257 ,112 ,1207 ,200 ,102 ,52 ,390 ,154 ,305 ,122 ,149 ,19 ,157 ,1588 ,1193 ,23 ,222 ,10 ,356 ,1923 
2019-01-31,3666 ,791 ,2139 ,3218 ,110 ,568 ,6045 ,5157 ,1045 ,1475 ,262 ,109 ,1170 ,208 ,101 ,55 ,400 ,151 ,258 ,111 ,148 ,19 ,150 ,1567 ,1200 ,24 ,236 ,9 ,350 ,1912 
