No,Name,Address,경도,위도,상태
1,가좌행복주택(커뮤니티센터),서울특별시 마포구 성암로 28 행복주택 2층,126.913300882081,37.5691541302655,정좌표
2,갈월 종합사회복지관,서울특별시 용산구 두텁바위로 25,126.974824426365,37.5457744567821,정좌표
3,강감찬관악종합사회복지관,서울특별시 관악구 양녕로 74 (강감찬관악복지관 403호),126.946658045918,37.4885158110525,정좌표
4,강남구립논현노인종합복지관,서울특별시 강남구 강남대로 128길 59(6층 디지털마당),127.026087317465,37.5120631837473,정좌표
5,강남구청 정보교육장,서울특별시 강남구 학동로426 강남구청 제3별관 2층(직원정보화교육장),127.047401857859,37.5172969535574,정좌표
6,강남세움장애인통합지원센터,서울특별시 강남구 광평로60길22 6층,127.106951502815,37.4869810432226,정좌표
7,강북문화정보도서관,서울특별시 강북구 오현로 145,127.036079538733,37.6251151009376,정좌표
8,강북청소년문화정보도서관,서울특별시 강북구 삼양로54길 68,127.021551117693,37.6230741379985,정좌표
9,강서구립봉제산어르신복지센터,서울특별시 강서구 초록마을로 15길 12,126.851407597751,37.5415229441364,정좌표
10,강서구립연지어르신복지센터,서울특별시 강서구 화곡로58길 30-7,126.852662570978,37.552414737679,정좌표
11,강서노인종합복지관,서울특별시 강서구 화곡로 61길 85,126.847551522639,37.5581224818494,정좌표
12,강일리버파크 4단지 경로당,"서울특별시 강동구 아리수로97길 19 (강일동,강일리버파크4단지아파트",127.17622856478,37.5666876256735,정좌표
13,곰달래어르신복지센터,서울특별시 강서구 강서로5길 50(곰달래문화복지센터),126.848897618655,37.5290593776459,정좌표
14,광나루 정보화교육장,서울특별시 광진구 아차산로 630 보훈회관2층,127.107996768495,37.5488323062676,정좌표
15,광진정보도서관,서울특별시 광진구 아차산로78길 90 (광장동),127.110615793268,37.5510729940193,정좌표
16,교남동 주민센터,서울특별시 종로구 송월길 154(행촌동),126.961961314789,37.5719164600847,정좌표
17,구로4동교육장,서울특별시 구로구 도림로 9 구로4동자치회관,126.886620391509,37.485652747212,정좌표
18,구로노인종합복지관,서울특별시 구로구 새말로 16길 7,126.890618772407,37.5052440877111,정좌표
19,구로파랑새지역아동센터,서울특별시 구로구 구로동로38길 32 3층,126.884629292093,37.4948271959706,정좌표
20,구립신내노인종합복지관,서울특별시 중랑구 신내로15길 175(신내동),127.087889073706,37.6148112947695,정좌표
21,구립용마경로복지센터,서울특별시 중랑구 용마산로94길 98(면목동),127.101821213467,37.587401887462,정좌표
22,구립원터골경로당,서울특별시 강동구 동남로65길 46-8(명일동),127.153666597118,37.5481593658006,정좌표
23,구립응암노인복지관,서울특별시 은평구 응암로21가길 5-1,126.916768681327,37.5945744678038,정좌표
24,구의1동 주민센터,서울특별시 광진구 광나루로36길 56,127.085677986602,37.5424139974152,정좌표
25,금천구청(정보화교육장),서울특별시 금천구 시흥대로73길 70 금천구 종합청사( 전산교육장 지하 1층),126.896037224012,37.4570662932684,정좌표
26,금천노인종합복지관,서울특별시 금천구 시흥대로51길93-32,126.897764105103,37.4501346291109,정좌표
27,금천누리복지관,서울특별시 금천구 가산로 129,126.891780732632,37.476890031018,정좌표
28,금호도서관,서울특별시 성동구 난계로 20,127.024894088763,37.5541302385033,정좌표
29,남가좌2동주민센터,서울특별시 서대문구 증가로10길28(남가좌2동주민센터),126.923868771213,37.5784371071873,정좌표
30,남동권 디지털총괄센터,서울특별시 강남구 테헤란로43길 18 2층 STA교육센터,127.04406124732,37.5044341715955,정좌표
31,남서권 디지털총괄센터,서울특별시 마포구 매봉산로 37 DMC 산학협력연구센터 1001호,126.890599943423,37.5760527444339,정좌표
32,노원 50플러스센터,서울특별시 노원구 노원로 30길 73,127.070717645153,37.6561182235893,정좌표
33,노원구립장애인일자리센터 다모인,서울특별시 노원구 노원로 311 중계 제 1공단 301호,127.070534310595,37.6448902304161,정좌표
34,노원평생교육원 장미실습장3강의실,서울특별시 노원구 섬밭로 196,127.068791670733,37.6330943616752,정좌표
35,대방동 정보화교육장,서울특별시 동작구 상도로 35 중소기업창업지원센터 4층,126.924441545707,37.5000045252029,정좌표
36,도선동 주민센터3층 정보화교육장,서울특별시 성동구 마장로 141 공공복합청사 3층,127.025529395737,37.5678750353529,정좌표
37,독산2동주민센터,서울특별시 금천구 독산로 179,126.903483929561,37.4631498983542,정좌표
38,동대문종합사회복지관,서울특별시 동대문구 약령시로5길 22,127.034196884658,37.5840199638408,정좌표
39,동문장애인복지관,서울특별시 동대문구 장안벚꽃로 7길 5,127.073193347738,37.5831522214732,정좌표
40,동작구 정보화교육장,서울특별시 동작구 노량진로74 유한양행 9층 전산교육장,126.932642514313,37.5129651095561,정좌표
41,마포평생학습관 아현분관,서울특별시 마포구 마포대로 224,126.957444954935,37.5541718913699,정좌표
42,메리워드지역아동센터,"서울특별시 구로구 고척로 49, 210동 상가 3층",126.839390213935,37.4993555347265,정좌표
43,모랫말 어르신 복지센터,서울특별시 영등포구 도영로 41 (도림동) 모랫말어르신복지센터 4층,126.897490859627,37.5097084060841,정좌표
44,모아래마을활력소,서울특별시 구로구 남부순환로105길 198(가리봉동),126.884047530219,37.4841363513882,정좌표
45,목동실버복지문화센터,서울특별시 양천구 목동중앙로3길 21(목동실버복지문화센터 프로그램3실),126.869269333241,37.536466343933,정좌표
46,백학경로당,서울특별시 중랑구 중랑천로 20길6-14,127.072777385182,37.5957403642095,정좌표
47,버들마을활력소,서울특별시 구로구 오리로 1130 지하2층,126.840035661599,37.4853082335371,정좌표
