"상품군별","범위별",2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06 p),2021. 07 p)
"아동·유아용품","종합몰",239304,237116,273482,263196,251146,232732,241335,238365,246577,236837,270151,336263,260995,241759,266976,285541,275750,242982,260921,248708,245866,275656,275256,347909,281383,255640,306546,316923,314303,271866,281864,275101,291344,313271,324495,394924,308818,361447,382739,369739,377087,337820,344193,339013,352954,359639,366752,479961,374197,345524,390621,400322,401444,354481,375231
"아동·유아용품","전문몰",20486,25088,26718,30400,23419,26337,23244,25165,25700,23704,29440,40973,34200,26859,31907,34879,35048,28952,26469,27097,27875,33206,34817,45665,32295,30779,31007,37304,33639,32069,36403,33859,33925,36125,36920,47823,31958,34042,35221,42148,37543,41792,39866,38338,41607,36482,42721,53772,37696,36722,71260,73865,70128,78680,77227
"음·식료품","계",675851,573082,641671,652914,633354,641593,638176,692641,827851,608615,701590,709684,846822,814658,826873,810015,849044,811245,866906,905132,1000055,910407,927668,925608,1193353,867434,1027271,1058853,1111609,1040151,1092958,1215522,1233759,1190483,1198157,1217181,1417289,1482929,1640869,1523528,1479481,1444421,1590820,1641205,2032830,1649211,1763205,2013597,2165480,1894415,1988637,1975666,2041265,1958851,2067564
"음·식료품","종합몰",548272,459748,512756,525220,509764,516503,516393,559000,686780,489116,578513,582704,690539,663266,655642,648922,682086,658740,701912,742191,823791,744120,751072,749143,992377,711906,844768,873534,915404,842440,892006,993192,1014429,990406,998096,1005565,1218414,1266660,1410921,1300197,1264964,1220824,1334316,1410663,1741767,1418184,1513061,1727614,1860310,1625776,1702737,1680249,1733726,1665575,1755142
"음·식료품","전문몰",127579,113334,128915,127694,123590,125090,121783,133641,141071,119499,123077,126980,156283,151392,171231,161093,166958,152505,164994,162941,176264,166287,176596,176465,200976,155528,182503,185319,196205,197711,200952,222330,219330,200077,200061,211616,198875,216269,229948,223331,214517,223597,256504,230542,291063,231027,250144,285983,305170,268639,285900,295417,307539,293276,312422
"농축수산물","계",259029,167546,194150,176139,175762,180848,182683,194090,288964,174780,208744,221852,251910,289778,228800,215400,221735,214272,224230,235082,310020,238060,256669,254558,413272,231118,278404,286290,285288,269840,282677,321530,374542,313056,325846,341186,489675,463071,527136,479364,433631,434082,480415,509825,733033,494660,517277,650936,749956,673643,615609,602889,618623,586679,623627
"농축수산물","종합몰",219055,144476,168778,149718,148558,154118,156967,165669,243766,149586,176279,180356,220796,244150,198231,185975,190454,183720,194743,203711,267997,208817,220090,216101,339978,191677,226657,230675,227505,217797,228589,263288,307940,255042,262344,268793,389363,398415,445000,393611,350167,347886,390508,423451,608152,412127,425846,544293,633263,565175,504947,489485,506266,474314,510296
"농축수산물","전문몰",39974,23070,25372,26421,27204,26730,25716,28421,45198,25194,32465,41496,31114,45628,30569,29425,31281,30552,29487,31371,42023,29243,36579,38457,73294,39441,51747,55615,57783,52043,54088,58242,66602,58014,63502,72393,100312,64656,82136,85753,83464,86196,89907,86374,124881,82533,91431,106643,116693,108468,110662,113404,112357,112365,113331
"생활용품","계",592310,607119,619493,575323,600558,597243,613589,631622,653743,602048,708613,681900,710430,636039,739338,709864,715962,687897,740180,714937,691804,788705,799848,787821,831769,735651,869192,821882,862291,812251,845351,874832,859634,907585,932759,927285,970074,1157257,1265442,1108836,1179159,1195846,1227598,1283724,1252806,1203768,1250633,1410050,1308069,1181005,1343553,1286125,1340060,1343650,1441364
"생활용품","종합몰",494081,514838,518912,481074,506948,507165,527744,540396,544821,513374,605478,581158,604734,538524,627714,608103,617229,596753,645162,625276,600745,683002,698959,687968,725810,644015,759621,715775,759846,715873,743468,768060,748147,800059,823204,817291,861469,1046752,1141286,984393,1050589,1064119,1111707,1168185,1121145,1087011,1120240,1275064,1181797,1070613,1216787,1167413,1210752,1200198,1257828
