일별,성별,연령대별,업종,카드이용건수(천건),Unnamed: 5,Unnamed: 6,Unnamed: 7
20190111,F,60대,M001_한식,106.3,,,
20190111,F,70대,M001_한식,29.4,,,
20190111,M,20대,M001_한식,458.6,,,
20190111,M,30대,M001_한식,554.0,,,
20190111,M,40대,M001_한식,596.7,,,
20190111,M,50대,M001_한식,469.0,,,
20190111,M,60대,M001_한식,192.2,,,
20190111,M,70대,M001_한식,63.4,,,
20190112,F,20대,M001_한식,354.0,,,
20190112,F,30대,M001_한식,337.6,,,
20190112,F,40대,M001_한식,424.6,,,
20190112,F,50대,M001_한식,309.2,,,
20190112,F,60대,M001_한식,106.5,,,
20190112,F,70대,M001_한식,29.2,,,
20190112,M,20대,M001_한식,485.7,,,
20190112,M,30대,M001_한식,586.4,,,
20190112,M,40대,M001_한식,638.6,,,
20190112,M,50대,M001_한식,502.4,,,
20190112,M,60대,M001_한식,201.4,,,
20190112,M,70대,M001_한식,64.5,,,
20190113,F,20대,M001_한식,305.8,,,
20190113,F,30대,M001_한식,278.4,,,
20190113,F,40대,M001_한식,339.0,,,
20190113,F,50대,M001_한식,263.2,,,
20190113,F,60대,M001_한식,93.4,,,
20190113,F,70대,M001_한식,24.6,,,
20190113,M,20대,M001_한식,442.6,,,
20190113,M,30대,M001_한식,501.1,,,
20190113,M,40대,M001_한식,534.2,,,
20190113,M,50대,M001_한식,431.0,,,
20190113,M,60대,M001_한식,179.9,,,
20190113,M,70대,M001_한식,55.5,,,
20190114,F,20대,M001_한식,325.4,,,
20190114,F,30대,M001_한식,290.5,,,
20190114,F,40대,M001_한식,356.4,,,
20190114,F,50대,M001_한식,274.3,,,
20190114,F,60대,M001_한식,96.2,,,
20190114,F,70대,M001_한식,28.0,,,
20190114,M,20대,M001_한식,409.2,,,
20190114,M,30대,M001_한식,467.1,,,
20190114,M,40대,M001_한식,500.2,,,
20190114,M,50대,M001_한식,399.5,,,
20190114,M,60대,M001_한식,167.8,,,
20190114,M,70대,M001_한식,56.8,,,
20190115,F,20대,M001_한식,329.3,,,
20190115,F,30대,M001_한식,301.0,,,
20190115,F,40대,M001_한식,378.2,,,
20190115,F,50대,M001_한식,286.8,,,
20190115,F,60대,M001_한식,98.6,,,
20190115,F,70대,M001_한식,28.5,,,
20190115,M,20대,M001_한식,412.1,,,
20190115,M,30대,M001_한식,484.2,,,
20190115,M,40대,M001_한식,523.2,,,
20190115,M,50대,M001_한식,420.0,,,
20190115,M,60대,M001_한식,176.0,,,
20190115,M,70대,M001_한식,58.2,,,
20190116,F,20대,M001_한식,338.6,,,
20190116,F,30대,M001_한식,318.5,,,
20190116,F,40대,M001_한식,390.0,,,
20190116,F,50대,M001_한식,293.3,,,
20190116,F,60대,M001_한식,100.1,,,
20190116,F,70대,M001_한식,28.3,,,
20190116,M,20대,M001_한식,419.0,,,
20190116,M,30대,M001_한식,498.8,,,
20190116,M,40대,M001_한식,536.7,,,
20190116,M,50대,M001_한식,430.2,,,
20190116,M,60대,M001_한식,180.1,,,
20190116,M,70대,M001_한식,60.0,,,
20190117,F,20대,M001_한식,337.1,,,
20190117,F,30대,M001_한식,320.9,,,
20190117,F,40대,M001_한식,393.3,,,
20190117,F,50대,M001_한식,294.5,,,
20190117,F,60대,M001_한식,100.7,,,
20190117,F,70대,M001_한식,28.8,,,
20190117,M,20대,M001_한식,415.2,,,
20190117,M,30대,M001_한식,497.1,,,
20190117,M,40대,M001_한식,539.8,,,
20190117,M,50대,M001_한식,433.4,,,
20190117,M,60대,M001_한식,181.2,,,
20190117,M,70대,M001_한식,62.8,,,
20190118,F,20대,M001_한식,365.0,,,
20190118,F,30대,M001_한식,358.1,,,
20190118,F,40대,M001_한식,430.1,,,
20190118,F,50대,M001_한식,313.2,,,
20190118,F,60대,M001_한식,107.6,,,
20190118,F,70대,M001_한식,29.4,,,
20190118,M,20대,M001_한식,449.5,,,
20190118,M,30대,M001_한식,557.3,,,
20190118,M,40대,M001_한식,598.3,,,
20190118,M,50대,M001_한식,473.7,,,
20190118,M,60대,M001_한식,194.4,,,
20190118,M,70대,M001_한식,64.4,,,
20190119,F,20대,M001_한식,349.2,,,
20190119,F,30대,M001_한식,342.9,,,
20190119,F,40대,M001_한식,428.6,,,
20190119,F,50대,M001_한식,309.5,,,
20190119,F,60대,M001_한식,106.8,,,
20190119,F,70대,M001_한식,29.7,,,
20190119,M,20대,M001_한식,480.0,,,
20190119,M,30대,M001_한식,590.6,,,
20190119,M,40대,M001_한식,653.2,,,
20190119,M,50대,M001_한식,513.6,,,
20190119,M,60대,M001_한식,205.3,,,
20190119,M,70대,M001_한식,64.4,,,
20190120,F,20대,M001_한식,301.5,,,
20190120,F,30대,M001_한식,282.7,,,
20190120,F,40대,M001_한식,338.5,,,
20190120,F,50대,M001_한식,257.4,,,
20190120,F,60대,M001_한식,91.9,,,
20190120,F,70대,M001_한식,23.8,,,
20190120,M,20대,M001_한식,435.3,,,
20190120,M,30대,M001_한식,505.4,,,
20190120,M,40대,M001_한식,536.2,,,
20190120,M,50대,M001_한식,429.0,,,
20190120,M,60대,M001_한식,180.3,,,
20190120,M,70대,M001_한식,55.4,,,
20190121,F,20대,M001_한식,323.2,,,
20190121,F,30대,M001_한식,301.9,,,
20190121,F,40대,M001_한식,365.8,,,
20190121,F,50대,M001_한식,280.6,,,
20190121,F,60대,M001_한식,97.3,,,
20190121,F,70대,M001_한식,28.4,,,
20190121,M,20대,M001_한식,409.3,,,
20190121,M,30대,M001_한식,479.0,,,
20190121,M,40대,M001_한식,507.8,,,
20190121,M,50대,M001_한식,407.7,,,
20190121,M,60대,M001_한식,173.2,,,
20190121,M,70대,M001_한식,59.4,,,
20190122,F,20대,M001_한식,325.9,,,
20190122,F,30대,M001_한식,315.7,,,
20190122,F,40대,M001_한식,387.5,,,
20190122,F,50대,M001_한식,293.6,,,
20190122,F,60대,M001_한식,103.3,,,
20190122,F,70대,M001_한식,29.0,,,
20190122,M,20대,M001_한식,401.8,,,
20190122,M,30대,M001_한식,487.0,,,
20190122,M,40대,M001_한식,530.9,,,
20190122,M,50대,M001_한식,428.7,,,
20190122,M,60대,M001_한식,181.7,,,
20190122,M,70대,M001_한식,63.9,,,
20190123,F,20대,M001_한식,329.9,,,
20190123,F,30대,M001_한식,320.1,,,
20190123,F,40대,M001_한식,392.1,,,
20190123,F,50대,M001_한식,297.5,,,
20190123,F,60대,M001_한식,102.3,,,
20190123,F,70대,M001_한식,28.5,,,
20190123,M,20대,M001_한식,406.9,,,
20190123,M,30대,M001_한식,500.7,,,
20190123,M,40대,M001_한식,542.6,,,
20190123,M,50대,M001_한식,437.5,,,
20190123,M,60대,M001_한식,180.8,,,
20190123,M,70대,M001_한식,61.3,,,
20190124,F,20대,M001_한식,332.4,,,
20190124,F,30대,M001_한식,326.7,,,
20190124,F,40대,M001_한식,398.6,,,
20190124,F,50대,M001_한식,297.1,,,
20190124,F,60대,M001_한식,103.8,,,
20190124,F,70대,M001_한식,29.0,,,
20190124,M,20대,M001_한식,403.0,,,
20190124,M,30대,M001_한식,504.9,,,
20190124,M,40대,M001_한식,550.0,,,
20190124,M,50대,M001_한식,438.0,,,
20190124,M,60대,M001_한식,185.7,,,
20190124,M,70대,M001_한식,63.2,,,
20190125,F,20대,M001_한식,360.0,,,
20190125,F,30대,M001_한식,360.8,,,
20190125,F,40대,M001_한식,426.0,,,
20190125,F,50대,M001_한식,307.7,,,
20190125,F,60대,M001_한식,105.0,,,
20190125,F,70대,M001_한식,29.5,,,
20190125,M,20대,M001_한식,432.2,,,
20190125,M,30대,M001_한식,557.3,,,
20190125,M,40대,M001_한식,598.9,,,
20190125,M,50대,M001_한식,465.1,,,
20190125,M,60대,M001_한식,191.8,,,
20190125,M,70대,M001_한식,62.2,,,
20190126,F,20대,M001_한식,353.8,,,
20190126,F,30대,M001_한식,352.2,,,
20190126,F,40대,M001_한식,429.0,,,
20190126,F,50대,M001_한식,306.5,,,
20190126,F,60대,M001_한식,104.1,,,
20190126,F,70대,M001_한식,28.1,,,
20190126,M,20대,M001_한식,476.3,,,
20190126,M,30대,M001_한식,596.7,,,
20190126,M,40대,M001_한식,654.3,,,
20190126,M,50대,M001_한식,509.3,,,
20190126,M,60대,M001_한식,203.6,,,
20190126,M,70대,M001_한식,63.6,,,
20190127,F,20대,M001_한식,313.1,,,
20190127,F,30대,M001_한식,292.7,,,
20190127,F,40대,M001_한식,349.9,,,
20190127,F,50대,M001_한식,264.2,,,
20190127,F,60대,M001_한식,91.6,,,
20190127,F,70대,M001_한식,23.9,,,
20190127,M,20대,M001_한식,437.3,,,
20190127,M,30대,M001_한식,520.4,,,
20190127,M,40대,M001_한식,555.7,,,
20190127,M,50대,M001_한식,439.8,,,
20190127,M,60대,M001_한식,183.4,,,
20190127,M,70대,M001_한식,56.9,,,
20190128,F,20대,M001_한식,332.1,,,
20190128,F,30대,M001_한식,312.5,,,
20190128,F,40대,M001_한식,364.5,,,
20190128,F,50대,M001_한식,275.8,,,
20190128,F,60대,M001_한식,95.8,,,
20190128,F,70대,M001_한식,27.6,,,
20190128,M,20대,M001_한식,411.6,,,
20190128,M,30대,M001_한식,487.5,,,
20190128,M,40대,M001_한식,514.5,,,
20190128,M,50대,M001_한식,412.0,,,
20190128,M,60대,M001_한식,174.1,,,
20190128,M,70대,M001_한식,59.1,,,
20190129,F,20대,M001_한식,332.4,,,
20190129,F,30대,M001_한식,322.7,,,
20190129,F,40대,M001_한식,388.5,,,
20190129,F,50대,M001_한식,291.1,,,
20190129,F,60대,M001_한식,102.1,,,
20190129,F,70대,M001_한식,28.9,,,
20190129,M,20대,M001_한식,406.1,,,
20190129,M,30대,M001_한식,500.1,,,
20190129,M,40대,M001_한식,542.1,,,
20190129,M,50대,M001_한식,434.4,,,
20190129,M,60대,M001_한식,183.1,,,
20190129,M,70대,M001_한식,62.5,,,
20190130,F,20대,M001_한식,339.1,,,
20190130,F,30대,M001_한식,334.2,,,
20190130,F,40대,M001_한식,400.6,,,
20190130,F,50대,M001_한식,297.7,,,
20190130,F,60대,M001_한식,102.1,,,
20190130,F,70대,M001_한식,28.8,,,
20190130,M,20대,M001_한식,411.1,,,
20190130,M,30대,M001_한식,516.8,,,
20190130,M,40대,M001_한식,560.4,,,
20190130,M,50대,M001_한식,446.8,,,
20190130,M,60대,M001_한식,186.9,,,
20190130,M,70대,M001_한식,61.6,,,
20190131,F,20대,M001_한식,337.4,,,
20190131,F,30대,M001_한식,327.1,,,
20190131,F,40대,M001_한식,398.5,,,
20190131,F,50대,M001_한식,287.7,,,
20190131,F,60대,M001_한식,96.8,,,
20190131,F,70대,M001_한식,27.2,,,
20190131,M,20대,M001_한식,409.5,,,
20190131,M,30대,M001_한식,517.5,,,
20190131,M,40대,M001_한식,568.2,,,
20190131,M,50대,M001_한식,453.1,,,
20190131,M,60대,M001_한식,182.5,,,
20190131,M,70대,M001_한식,58.7,,,
20190201,F,20대,M001_한식,360.7,,,
20190201,F,30대,M001_한식,358.1,,,
20190201,F,40대,M001_한식,433.7,,,
20190201,F,50대,M001_한식,304.8,,,
20190201,F,60대,M001_한식,98.4,,,
20190201,F,70대,M001_한식,27.4,,,
20190201,M,20대,M001_한식,455.7,,,
20190201,M,30대,M001_한식,565.9,,,
20190201,M,40대,M001_한식,621.8,,,
20190201,M,50대,M001_한식,488.8,,,
20190201,M,60대,M001_한식,193.5,,,
20190201,M,70대,M001_한식,59.6,,,
20190202,F,20대,M001_한식,331.6,,,
20190202,F,30대,M001_한식,323.8,,,
20190202,F,40대,M001_한식,402.2,,,
20190202,F,50대,M001_한식,289.0,,,
20190202,F,60대,M001_한식,96.0,,,
20190202,F,70대,M001_한식,25.6,,,
20190202,M,20대,M001_한식,466.3,,,
20190202,M,30대,M001_한식,569.0,,,
20190202,M,40대,M001_한식,629.7,,,
20190202,M,50대,M001_한식,495.0,,,
20190202,M,60대,M001_한식,193.4,,,
20190202,M,70대,M001_한식,58.5,,,
20190203,F,20대,M001_한식,255.5,,,
20190203,F,30대,M001_한식,240.2,,,
20190203,F,40대,M001_한식,295.7,,,
20190203,F,50대,M001_한식,218.5,,,
20190203,F,60대,M001_한식,70.2,,,
20190203,F,70대,M001_한식,18.7,,,
20190203,M,20대,M001_한식,384.1,,,
20190203,M,30대,M001_한식,457.9,,,
20190203,M,40대,M001_한식,488.9,,,
20190203,M,50대,M001_한식,388.7,,,
20190203,M,60대,M001_한식,142.1,,,
20190203,M,70대,M001_한식,39.6,,,
20190204,F,20대,M001_한식,177.8,,,
20190204,F,30대,M001_한식,162.8,,,
