국가,치명(%),완치(%),발생률,인구수,확진자_합계,확진자_1일,사망자_합계,사망자_1일,완치자_합계,완치자_1일,위중증_합계,위중증_1일
프랑스령 기아나🇬🇫,0.6,25.1,"135,827","298,682",39790,,256,,9995,,34,
수단🇸🇩,7.6,83.8,872,"43,849,260",38217,+16,2900,+6,32044,6,N/A,
카보베르데🇨🇻,0.9,97.4,"67,449","555,987",37472,+24,336,+2,36490,42,23,
몰타 공화국🇲🇹,1.2,96.7,"84,067","441,543",37119,+16,457,,35896,37,3,-1
모리타니🇲🇷,2.2,95.8,"7,730","4,649,658",35889,+30,772,+4,34399,108,22,
시리아🇸🇾,6.6,70.8,"1,922","17,500,658",33323,+350,2215,+8,23599,71,N/A,
가이아나🇬🇾,2.5,85.0,"39,869","786,552",31236,+88,772,+10,26557,287,30,-3
기니🇬🇳,1.2,94.7,"2,313","13,132,795",30364,+2,378,+1,28752,19,24,
가봉🇬🇦,0.6,90.3,"13,261","2,225,734",29515,+389,183,+5,26641,100,26,+3
토고🇹🇬,0.9,88.8,"3,059","8,278,724",25252,+34,227,+1,22433,112,N/A,
베냉🇧🇯,0.7,75.3,"1,894","12,123,200",22958,,154,,17294,,5,
라오스🇱🇦,0.1,24.8,"3,153","7,275,560",22441,,16,,5568,,N/A,
아이티🇭🇹,2.8,89.9,"1,898","11,402,528",21647,+107,610,,19463,115,N/A,
세이셸🇸🇨,0.5,97.9,"217,058","98,347",21347,+90,115,,20903,246,N/A,
바하마🇧🇸,2.5,88.2,"53,000","393,244",20775,+172,523,+1,18321,56,15,
마요트🇾🇹,0.9,14.6,"74,197","272,815",20242,+23,178,,2964,,N/A,
소말리아🇸🇴,5.6,47.7,"1,257","15,893,222",19980,+257,1111,+8,9523,109,N/A,
벨리즈🇧🇿,2.0,88.1,"51,040","397,628",19945,+345,405,+3,17568,321,10,
파푸아뉴기니🇵🇬,1.2,94.0,"2,182","8,947,024",19523,,227,,18353,,7,
